Case_ID,Term,Case_Name,Petitioner,Hearing_Date,Issue_Area,Decision_Type,Direction,Majority_Votes,Minority_Votes,Chief_Justice,Case_Status,Courtroom,Duration_Days,Victim  Count,State,District,Term_iqr_outlier,Majority_Votes_iqr_outlier,Minority_Votes_iqr_outlier,Courtroom_iqr_outlier,Duration_Days_iqr_outlier,Victim  Count_iqr_outlier,Term_zscore_outlier,Majority_Votes_zscore_outlier,Minority_Votes_zscore_outlier,Courtroom_zscore_outlier,Duration_Days_zscore_outlier,Victim  Count_zscore_outlier,anomaly_flag,outlier_flag,Hearing_Date_year,Hearing_Date_month,Hearing_Date_day
0,-1.6013150619837284,4,5,2015-01-01,3,3,1,-1.389989446392227,-0.025916861941921533,5,1,-1.4708460186210899,1.1278596269640724,-1.0869602517426562,8,0,False,False,False,False,False,False,False,False,False,False,False,False,-4.358898943540674,0.142857142857143,2015,1,1
1,-1.6013150619837284,1,1,2015-01-02,1,3,0,0.6342670289362593,0.7145649078272621,4,2,-0.879749159161844,1.3149010244705521,-1.6184811572402877,4,10,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,2
2,-0.6631590388515531,1,2,2015-01-03,4,3,1,0.6342670289362593,-0.025916861941921533,2,1,-1.0767814456482594,-0.8360750468539643,-0.9097866165767792,5,5,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,3
3,-0.6631590388515531,2,6,2015-01-04,0,2,1,-0.04048512950656946,1.4550466775964457,5,1,1.2876059921887237,0.753776831951113,-0.732612981410902,7,12,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,4
4,-0.31135053017698744,2,4,2015-01-05,4,3,1,-0.7152372879493982,0.7145649078272621,5,1,-1.667878305107505,0.09913194067843412,-1.0869602517426562,4,20,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,5
5,-0.07681152439394365,4,0,2015-01-06,1,0,0,0.6342670289362593,-0.7663986317111051,3,0,0.8935414192158931,1.5954631207302716,-1.2641338869085335,7,12,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,6
6,0.5095359900636659,5,3,2015-01-01,3,2,0,0.6342670289362593,1.4550466775964457,0,2,-1.0767814456482594,1.5019424219770319,-0.9097866165767792,2,34,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,1
7,-1.1322370504176407,7,5,2015-01-08,4,0,0,0.6342670289362593,-0.025916861941921533,1,0,-0.879749159161844,-0.08790945682804557,1.7478179109113783,2,7,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,8
8,0.274996984280622,2,7,2015-01-09,2,0,0,-0.7152372879493982,0.7145649078272621,3,0,-0.879749159161844,-1.023116444360444,-0.5554393462450249,6,21,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,9
9,-0.8976980446345969,0,3,2015-01-10,4,3,1,-0.7152372879493982,-0.025916861941921533,5,2,1.4846382786751389,1.4084217232237919,-1.6184811572402877,2,18,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,10
10,-1.3667760562006845,2,5,2015-01-11,4,2,1,1.3090191873790882,-0.025916861941921533,0,2,1.4846382786751389,0.09913194067843412,1.0391233702478695,4,47,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,11
11,1.0958835045212754,6,6,2015-01-01,1,1,1,1.3090191873790882,-0.7663986317111051,3,0,-1.2738137321346745,0.753776831951113,1.0391233702478695,2,31,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,1
12,1.564961516087363,2,2,2015-01-13,1,3,0,0.6342670289362593,-0.025916861941921533,3,0,1.2876059921887237,0.09913194067843412,1.2162970054137467,6,22,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,13
13,-0.07681152439394365,6,4,2015-01-14,2,3,0,1.3090191873790882,-0.7663986317111051,2,0,0.6965091327294779,0.2861733381849138,-1.2641338869085335,6,27,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,14
14,0.7440749958467097,4,2,2015-01-15,0,1,0,1.3090191873790882,-1.5068804014802888,3,0,0.6965091327294779,0.19265263943167396,1.3934706405796238,9,17,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,15
15,1.682231018978885,6,1,2015-01-16,2,3,1,1.3090191873790882,-0.7663986317111051,0,2,0.4994768462430627,0.19265263943167396,-0.3782657110791477,8,3,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,16
16,1.682231018978885,1,1,2015-01-17,0,1,1,1.3090191873790882,-0.025916861941921533,2,2,-0.6827168726754288,-1.023116444360444,1.2162970054137467,0,33,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,17
17,-0.5458895359600312,5,1,2015-01-18,0,2,1,-0.04048512950656946,1.4550466775964457,5,0,0.3024445597566474,-0.6490336493474846,-0.02391844074739338,8,29,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,18
18,-0.31135053017698744,4,4,2015-01-19,1,3,0,-1.389989446392227,-1.5068804014802888,0,1,0.8935414192158931,1.0343389282108326,-0.732612981410902,2,18,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,19
19,0.8613444987382316,7,2,2015-01-20,4,0,0,-1.389989446392227,-0.7663986317111051,5,1,1.6816705651615542,-0.7425543481007245,-0.732612981410902,5,35,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,20
20,0.040457978497578255,7,2,2015-01-21,3,1,0,-0.7152372879493982,0.7145649078272621,2,2,0.10541227327023218,-0.3684715530877651,-1.6184811572402877,3,26,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,21
21,0.9786140016297534,5,1,2015-01-22,2,1,1,-0.7152372879493982,-0.025916861941921533,3,0,0.8935414192158931,-0.9295957456072041,-1.6184811572402877,1,1,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,22
22,-1.1322370504176407,3,4,2015-01-01,4,1,0,-1.389989446392227,-0.7663986317111051,2,0,0.3024445597566474,0.005611241925194271,0.33042882958436093,1,42,False,False,False,False,False,False,False,False,False,False,False,False,0.22941573387056172,0.142857142857143,2015,1,1
