Case_ID,Term,Case_Name,Petitioner,Hearing_Date,Issue_Area,Decision_Type,Direction,Majority_Votes,Minority_Votes,Chief_Justice,Case_Status,Courtroom,Duration_Days,Victim  Count,State,District,outlier_flag,Hearing_Date_year,Hearing_Date_month,Hearing_Date_day
0,1996,4,5,2015-01-01,3,3,1,5,2,5,1,3.0,33.0,3.0,8,0,-1,2015,1,1
1,1996,1,1,2015-01-02,1,3,0,8,3,4,2,6.0,35.0,0.0,4,10,1,2015,1,2
2,2004,1,2,2015-01-03,4,3,1,8,2,2,1,5.0,12.0,4.0,5,5,1,2015,1,3
3,2004,2,6,2015-01-04,0,2,1,7,4,5,1,17.0,29.0,5.0,7,12,1,2015,1,4
4,2007,2,4,2015-01-05,4,3,1,6,3,5,1,2.0,22.0,3.0,4,20,1,2015,1,5
5,2009,4,0,2015-01-06,1,0,0,8,1,3,0,15.0,38.0,2.0,7,12,1,2015,1,6
6,2014,5,3,2015-01-01,3,2,0,8,4,0,2,5.0,37.0,4.0,2,34,1,2015,1,1
7,2000,7,5,2015-01-08,4,0,0,8,2,1,0,6.0,20.0,19.0,2,7,1,2015,1,8
8,2012,2,7,2015-01-09,2,0,0,6,3,3,0,6.0,10.0,6.0,6,21,1,2015,1,9
9,2002,0,3,2015-01-10,4,3,1,6,2,5,2,18.0,36.0,0.0,2,18,1,2015,1,10
10,1998,2,5,2015-01-11,4,2,1,9,2,0,2,18.0,22.0,15.0,4,47,1,2015,1,11
11,2019,6,6,2015-01-01,1,1,1,9,1,3,0,4.0,29.0,15.0,2,31,1,2015,1,1
12,2023,2,2,2015-01-13,1,3,0,8,2,3,0,17.0,22.0,16.0,6,22,1,2015,1,13
13,2009,6,4,2015-01-14,2,3,0,9,1,2,0,14.0,24.0,2.0,6,27,1,2015,1,14
14,2016,4,2,2015-01-15,0,1,0,9,0,3,0,14.0,23.0,17.0,9,17,1,2015,1,15
15,2024,6,1,2015-01-16,2,3,1,9,1,0,2,13.0,23.0,7.0,8,3,1,2015,1,16
16,2024,1,1,2015-01-17,0,1,1,9,2,2,2,7.0,10.0,16.0,0,33,1,2015,1,17
17,2005,5,1,2015-01-18,0,2,1,7,4,5,0,12.0,14.0,9.0,8,29,1,2015,1,18
18,2007,4,4,2015-01-19,1,3,0,5,0,0,1,15.0,32.0,5.0,2,18,1,2015,1,19
