date,year,place,depth,latitude,longitude,is_natural,magnitude,magnitude_type,mag_category
2010-01-01 00:16:49+00:00,2010,81 km NE  of Seattle,0.0,48.191705719878726,-121.67731492982139,True,1.7000000476837158,ML,<2
2010-01-01 00:52:50+00:00,2010,86 km NW from Maniwaki,18.0,47.0289092833682,-76.5833027803726,True,2.200000047683716,MN,2
2010-01-01 03:21:58+00:00,2010,21 km NW from Mont-Laurier,18.0,46.65080925952489,-75.73390245830552,True,1.7999999523162842,MN,<2
2010-01-01 04:14:51+00:00,2010,CHARLEVOIX SEISMIC ZONE,13.0,47.74020966626593,-69.74200049396008,True,1.5,MN,<2
2010-01-01 04:15:17+00:00,2010,83 km W   of Gold R.,11.600000381469727,49.500705133767966,-127.22221611088489,True,1.600000023841858,ML,<2
2010-01-01 05:32:47+00:00,2010,73 km N from Atikokan,5.0,49.35750868588317,-91.98380806401985,True,1.2000000476837158,MN,<2
2010-01-01 08:51:55+00:00,2010,59 km SE  of Victoria,21.700000762939453,47.980805568852325,-122.93551508043453,True,1.7000000476837158,ML,<2
2010-01-01 12:24:40+00:00,2010,139 km SSW of Sandspit,20.0,52.0282045477822,-132.25731751493294,True,2.299999952316284,ML,2
2010-01-01 12:49:52+00:00,2010,130 km SSE of Sandspit,20.0,52.12500467885585,-131.26641743787414,True,2.5,ML,2
2010-01-01 15:25:32+00:00,2010,139 km SSW of Sandspit,20.0,52.02180455218726,-132.22271750914052,True,2.200000047683716,ML,2
2010-01-01 15:45:25+00:00,2010,21 km NE from Pembroke,18.0,45.98250909245826,-76.99870281922607,True,1.2999999523162842,MN,<2
2010-01-01 15:55:54+00:00,2010,136 km SSW of Sandspit,20.0,52.061304543840514,-132.2898175302686,True,2.299999952316284,ML,2
2010-01-01 17:10:55+00:00,2010,139 km SSE of Sandspit,20.0,52.01720465558807,-131.4369174212528,True,2.4000000953674316,ML,2
2010-01-01 18:16:52+00:00,2010,22 km E   of Victoria,23.899999618530273,48.473905578116344,-123.0658152247487,True,1.5,ML,<2
2010-01-01 18:58:29+00:00,2010,60 km WSW of Sandspit,20.0,52.903704517079355,-132.5204178552491,True,1.899999976158142,ML,<2
2010-01-01 19:11:47+00:00,2010,8 km WSW of Masset,10.0,53.99000455386808,-132.26681824165965,True,2.0999999046325684,ML,2
2010-01-01 20:34:47+00:00,2010,149 km SSW of Sandspit,20.0,51.92310456185257,-132.1463174666747,True,2.4000000953674316,ML,2
2010-01-01 20:48:55+00:00,2010,213 km E   of Valdez,5.0,60.50440285783779,-142.62372243769755,True,2.5999999046325684,ML,2
2010-01-01 21:08:27+00:00,2010,86 km SW  of Pt. Hardy,18.600000381469727,50.04980504402663,-128.09341638483363,True,2.0,ML,2
2010-01-01 21:19:27+00:00,2010,138 km SSW of Sandspit,20.0,52.0259045578538,-132.18101750678395,True,2.200000047683716,ML,2
2010-01-01 21:36:21+00:00,2010,175 km ESE of Fort McPherson,5.0,66.62740459912602,-130.95552650786598,True,3.0,ML,3
2010-01-02 04:54:50+00:00,2010,210 km W   of Pt. Hardy,10.0,50.64960477095712,-130.39781685429506,True,3.299999952316284,Mw,3
2010-01-02 07:24:47+00:00,2010,Hudson Strait.,18.0,62.697111315824685,-73.54000399892887,True,1.7000000476837158,MN,<2
2010-01-02 10:27:54+00:00,2010,147 km SSW of Sandspit,20.0,51.93230456826747,-132.09801746475478,True,2.299999952316284,ML,2
2010-01-02 11:06:32+00:00,2010,154 km SSE of Sandspit,20.0,51.87990464684922,-131.49001737963928,True,2.299999952316284,ML,2
